filename,label
processed_image1.jpg,real
processed_image2.jpg,fake
processed_image3.jpg,real
processed_image4.jpg,fake
processed_image5.jpg,real
processed_image6.jpg,fake
processed_image7.jpg,real
processed_image8.jpg,fake
processed_image9.jpg,real
processed_image10.jpg,fake
processed_image11.jpg,real
processed_image12.jpg,fake
processed_image13.jpg,real
processed_image14.jpg,fake
processed_image15.jpg,real
processed_image16.jpg,fake
processed_image17.jpg,real
processed_image18.jpg,fake
processed_image19.jpg,real
processed_image20.jpg,fake
processed_audio1.wav,real
processed_audio2.wav,fake
processed_audio3.wav,real
processed_audio4.wav,fake
processed_audio5.wav,real
processed_audio6.wav,fake
processed_audio7.wav,real
processed_audio8.wav,fake
processed_audio9.wav,real
processed_audio10.wav,fake
processed_audio11.wav,real
processed_audio12.wav,fake
processed_audio13.wav,real
processed_audio14.wav,fake
processed_audio15.wav,real
processed_audio16.wav,fake
processed_audio17.wav,real
processed_audio18.wav,fake
processed_audio19.wav,real
processed_audio20.wav,fake
processed_video1.mp4,real
processed_video2.mp4,fake
processed_video3.mp4,real
processed_video4.mp4,fake
processed_video5.mp4,real
processed_video6.mp4,fake
processed_video7.mp4,real
processed_video8.mp4,fake
processed_video9.mp4,real
processed_video10.mp4,fake
processed_video11.mp4,real
processed_video12.mp4,fake
processed_video13.mp4,real
processed_video14.mp4,fake
processed_video15.mp4,real
processed_video16.mp4,fake
processed_video17.mp4,real
processed_video18.mp4,fake
processed_video19.mp4,real
processed_video20.mp4,fake
